n,p_h1,p_hc,bf_h1,bf_hc,fit_h1,fit_hc,comp_h1,comp_hc,n_min,n_max,bf_thresh,eta,intercept,beta_1,hypothesis,delta,prop_fail,sim_id
86,0.8061,0.9752,0.736371893935314,0.000795272344737782,0.0371849766235687,3.15729623866717e-05,0.049834129610301,0.0381860076256677,85,86,5,0.8,-1,0,equivalence,0.3,0,1
100,0.0628,0.366,3.14339870621727,0.0826494956860335,0.758652239163111,0.0763400306519902,0.5,0.5,99,100,5,0.8,-1,0,non-inferiority,0.3,1,2
100,0.1538,0.1817,0.624576223773773,1.79976139955049,0.384454859448163,0.642826706532723,0.5,0.5,99,100,5,0.8,-1,0,superiority,0.3,1,3
100,0.1788,0.1576,0.84795372644074,0.287892695529725,0.0490272748354391,0.0165577158307419,0.0573144824000322,0.0552506634123033,99,100,5,0.8,-1,1,equivalence,0.3,0,4
100,0.7623,0.942,265.481981189872,0.000121065654517916,0.996247401060534,0.000121050999399443,0.5,0.5,99,100,5,0.8,-1,1,non-inferiority,0.3,1,5
88,0.8952,0.7901,6508.74131137113,0.138442025973834,0.999846384064717,0.121606566531492,0.5,0.5,87,88,5,0.8,-1,1,superiority,0.3,1,6
100,0.8269,0.0294,0.372879672639144,9.95039165438262,0.0166571142862442,0.000154196213514646,0.0434542083271131,1.54986465668028e-05,99,100,5,0.9,-1,0,equivalence,0.3,1,7
100,0.0644,0.3655,1.8352952112235,0.0227816751496815,0.647303040599968,0.0222742308580641,0.5,0.5,99,100,5,0.9,-1,0,non-inferiority,0.3,1,8
100,0.168,0.1682,9.00880021609823,1.59947246101883,0.900087924785271,0.615306561236636,0.5,0.5,99,100,5,0.9,-1,0,superiority,0.3,1,9
100,0.1504,0.0109,0.304415082978812,9.95043490277993,0.0174660264026253,0.00015419688332502,0.0551737280843305,1.5498646538159e-05,99,100,5,0.9,-1,1,equivalence,0.3,0,10
100,0.7438,0.9227,4.60490477225515,0.00112266380819998,0.82158483673976,0.00112140484756328,0.5,0.5,99,100,5,0.9,-1,1,non-inferiority,0.3,1,11
100,0.9245,0.8147,43.7248693702561,0.00107422772838288,0.977641074997414,0.00107307500146168,0.5,0.5,99,100,5,0.9,-1,1,superiority,0.3,1,12
100,0.5965,0.008,7.44761547272333,0.000339801743152284,0.295327903305079,7.84253736796872e-06,0.0532750637553515,0.0225592593514841,99,100,10,0.8,-1,0,equivalence,0.3,1,13
100,0.0195,0.2498,0.454094939239976,0.00149371394419563,0.312286995151308,0.00149148609062449,0.5,0.5,99,100,10,0.8,-1,0,non-inferiority,0.3,1,14
100,0.0884,0.0999,0.778093127799562,0.0603325212998712,0.437599761021782,0.0568996235500813,0.5,0.5,99,100,10,0.8,-1,0,superiority,0.3,1,15
100,0.0642,0.0622,0.137512752267341,2.76359029358896e-05,0.00745940042460395,6.28670351140488e-07,0.0518206842430877,0.0222423572856434,99,100,10,0.8,-1,1,equivalence,0.3,0,16
100,0.6394,0.8783,64.3976025958888,0.00522442474997522,0.9847089195887,0.00519727199353982,0.5,0.5,99,100,10,0.8,-1,1,non-inferiority,0.3,1,17
100,0.8647,0.6938,5148.27159112515,0.00306883266285153,0.999805797775024,0.00305944374196603,0.5,0.5,99,100,10,0.8,-1,1,superiority,0.3,1,18
100,0.5937,0.9686,16.9404598184599,0.000489929181985682,0.487849692138501,2.34974160860516e-05,0.0532359677717246,0.0457668984155348,99,100,10,0.9,-1,0,equivalence,0.3,1,19
